City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,dryden,49.7833,-92.7503,6.16,81,0,1.03,CA,1714997815
152,kodiak,57.79,-152.4072,4.73,75,100,3.09,US,1714998053
153,tegueste,28.5167,-16.3167,24.18,71,0,4.12,ES,1714998053
154,mersa matruh,31.3525,27.2453,21.3,53,0,6.78,EG,1714998053
155,carolina beach,34.0352,-77.8936,23.38,95,64,3.95,US,1714997828
156,belmonte,-15.8631,-38.8828,28.23,62,56,4.89,BR,1714998053
157,saint-francois,46.4154,3.9054,15.23,74,75,2.57,FR,1714998053
158,ambon,-3.6954,128.1814,28.26,95,40,1.54,ID,1714998053
159,canutama,-6.5339,-64.3831,25.62,92,85,0.42,BR,1714998053
160,qaqortoq,60.7167,-46.0333,-1.47,52,1,1.73,GL,1714998053
161,port-vila,-17.7338,168.3219,20.78,88,20,1.03,VU,1714998053
162,wailua homesteads,22.0669,-159.378,22.44,87,100,7.2,US,1714998053
163,fortuna,40.5982,-124.1573,8.32,90,100,3.13,US,1714998054
164,west island,-12.1568,96.8225,27.99,78,40,6.17,CC,1714998054
165,russkaya polyana,49.417,31.9201,22.8,46,99,6.52,UA,1714998054
166,amga,60.8953,131.9608,7.35,72,97,1.92,RU,1714998054
167,irymple,-34.25,142.1667,14.58,59,0,4.54,AU,1714998054
168,selma,36.5708,-119.6121,8.32,100,0,3.09,US,1714998054
169,saldanha,-33.0117,17.9442,21.03,85,0,9.06,ZA,1714998054
170,zalari,53.5584,102.5065,20.42,46,64,13.46,RU,1714998054
171,kemijarvi,66.7131,27.4306,0.77,75,82,3.62,FI,1714998054
172,kamaishi,39.2667,141.8833,15.51,79,100,3.38,JP,1714998054
173,bundibugyo,0.7414,30.0417,26.64,73,74,0.94,UG,1714998054
174,klyuchi,52.2667,79.1667,11.63,31,56,4.62,RU,1714998054
175,portland,45.5234,-122.6762,9.68,92,100,6.26,US,1714997850
176,ta`u,-14.2336,-169.5144,29.09,79,100,6.08,AS,1714998054
177,smithers,54.7804,-127.1743,2.18,100,20,0.0,CA,1714998054
178,belem de sao francisco,-8.7539,-38.9658,27.82,59,99,8.46,BR,1714998054
179,la passe,45.5549,-0.8967,16.13,76,14,10.39,FR,1714998054
180,labuan,5.2767,115.2417,29.2,84,20,1.54,MY,1714998055
181,balabac,7.9868,117.0645,28.73,75,13,3.51,PH,1714998055
182,richards bay,-28.783,32.0377,33.29,22,0,2.25,ZA,1714998055
183,dabat,12.9842,37.765,25.49,14,0,5.01,ET,1714998055
184,tamanrasset,22.785,5.5228,31.95,14,40,7.72,DZ,1714998055
185,carnarvon,-24.8667,113.6333,22.62,59,0,10.65,AU,1714998055
186,harstad,68.799,16.5293,6.66,73,14,7.15,NO,1714998055
187,ruidoso,33.3317,-105.673,14.08,20,0,15.95,US,1714998055
188,yamada,39.4667,141.95,14.57,76,100,0.6,JP,1714998055
189,mejit,10.2753,170.8646,27.59,81,100,8.61,MH,1714998055
190,prince rupert,54.3161,-130.3201,5.83,90,100,7.2,CA,1714997848
191,kapuskasing,49.4169,-82.4331,7.05,70,20,5.66,CA,1714997941
192,saint-pierre,-21.3393,55.4781,26.82,61,0,10.29,RE,1714997904
193,stanley,54.868,-1.6985,15.77,87,40,3.09,GB,1714998055
194,mubende,0.5606,31.39,23.65,83,97,0.97,UG,1714998055
195,st. john's,47.5649,-52.7093,11.27,54,75,6.69,CA,1714997845
196,north bend,43.4065,-124.2243,9.99,93,100,3.6,US,1714998055
197,norfolk,42.1668,-71.2495,13.34,96,100,3.09,US,1714998055
198,balod,20.73,81.2047,41.38,12,57,6.42,IN,1714998055
199,callao,-12.0667,-77.15,19.84,82,100,4.63,PE,1714998044
200,san julian,21.0167,-102.1667,17.55,29,97,1.73,MX,1714998055
201,hilo,19.7297,-155.09,20.14,95,75,2.06,US,1714998055
202,wotho,10.1657,166.0102,27.51,81,87,8.0,MH,1714998055
203,burang,30.25,81.1667,4.05,64,29,4.14,CN,1714998055
204,remire-montjoly,4.9167,-52.2667,31.02,79,75,6.17,GF,1714998055
205,port mathurin,-19.6833,63.4167,26.2,69,1,9.7,MU,1714998055
206,ola,59.5833,151.2833,3.41,97,95,0.14,RU,1714998056
207,tuburan,6.6439,122.2736,29.05,74,38,1.55,PH,1714998056
208,xai-xai,-25.0519,33.6442,30.88,31,4,2.08,MZ,1714998056
209,ceeldheer,3.8488,47.1806,35.13,46,36,6.2,SO,1714997838
210,coahuayana de hidalgo,18.7,-103.6583,19.86,72,97,1.07,MX,1714998056
211,ishigaki,24.3448,124.1572,26.07,89,100,2.06,JP,1714998056
212,bedarieux,43.6155,3.1571,15.81,83,100,4.31,FR,1714998056
213,reggane,26.7158,0.1714,37.75,8,34,1.22,DZ,1714998056
214,belen,36.4891,36.2233,20.08,36,40,6.69,TR,1714998056
215,patnagarh,20.7167,83.15,41.48,13,83,5.31,IN,1714998056
216,namibe,-15.1961,12.1522,22.67,81,1,4.85,AO,1714998056
217,mitu,1.1983,-70.1733,22.35,99,100,1.22,CO,1714997942
218,arraial do cabo,-22.9661,-42.0278,26.98,74,0,7.2,BR,1714998056
219,moussoro,13.6408,16.4901,43.86,6,3,7.98,TD,1714998056
220,sosua,19.7667,-70.5167,25.99,94,75,1.54,DO,1714998028
221,vorgashor,67.5833,63.95,-9.55,88,45,0.78,RU,1714998056
222,alofi,-19.0595,-169.9187,24.94,94,75,4.63,NU,1714998056
223,le puy-en-velay,45.0437,3.8852,10.42,95,100,0.76,FR,1714998056
224,feodosiya,45.0333,35.3833,16.41,44,1,3.26,UA,1714998056
225,mil'kovo,55.6078,37.7956,10.27,57,93,2.76,RU,1714998057
226,tres palos,18.1833,-101.6167,21.4,53,83,1.27,MX,1714998057
227,dunedin,-45.8742,170.5036,7.67,65,93,2.24,NZ,1714997773
228,happy valley-goose bay,53.3168,-60.3315,6.17,65,100,6.17,CA,1714998057
229,selfoss,63.9331,-20.9971,6.69,64,99,8.07,IS,1714998057
230,magong,23.5654,119.5863,23.39,99,94,1.87,TW,1714998057
231,freetown,8.484,-13.2299,30.84,62,75,4.63,SL,1714998057
232,hermanus,-34.4187,19.2345,26.56,44,1,5.55,ZA,1714998057
233,bratsk,56.1325,101.6142,16.27,70,100,7.15,RU,1714998057
234,pudozh,61.8099,36.5345,2.19,47,87,2.68,RU,1714998057
235,westport,41.1415,-73.3579,13.48,92,100,0.0,US,1714998057
236,minas de marcona,-15.2119,-75.1103,15.53,86,76,4.12,PE,1714997838
237,camayenne,9.535,-13.6878,32.05,58,20,2.06,GN,1714998021
238,palmer,42.1584,-72.3287,12.58,84,100,0.0,US,1714997934
239,chittaurgarh,24.8833,74.6333,40.18,12,3,3.3,IN,1714998057
240,puerto montt,-41.4698,-72.9447,7.46,100,100,6.17,CL,1714997935
